#mGo	mLSP	Total	TotGenW	Counts	genWeight
1200	500	32362718	32362718.000	69399	69399.000
1900	700	32362718	32362718.000	15904	15904.000
1700	1150	32362718	32362718.000	16430	16430.000
1550	950	32362718	32362718.000	18013	18013.000
1300	500	32362718	32362718.000	36354	36354.000
1450	100	32362718	32362718.000	18805	18805.000
1750	500	32362718	32362718.000	19497	19497.000
1450	400	32362718	32362718.000	18747	18747.000
2450	500	32362718	32362718.000	15538	15538.000
1850	1250	32362718	32362718.000	19267	19267.000
2500	1500	32362718	32362718.000	23306	23306.000
2350	0	32362718	32362718.000	20151	20151.000
2250	800	32362718	32362718.000	18345	18345.000
700	200	32362718	32362718.000	140191	140191.000
2550	1400	32362718	32362718.000	17730	17730.000
2000	1200	32362718	32362718.000	19448	19448.000
2500	1300	32362718	32362718.000	14421	14421.000
2600	700	32362718	32362718.000	18578	18578.000
1000	300	32362718	32362718.000	149911	149911.000
2100	1250	32362718	32362718.000	16591	16591.000
1650	750	32362718	32362718.000	18964	18964.000
1550	1100	32362718	32362718.000	16056	16056.000
1600	1200	32362718	32362718.000	22837	22837.000
2200	1100	32362718	32362718.000	16529	16529.000
1750	1500	32362718	32362718.000	17725	17725.000
